,address,city,state,zip,fld_zone,zone_subty,x,y,geocoder
0,100 KINGSBURY LANE,GLASTONBURY,CT,6033,AE,nan,-72.62210746883517,41.717311796600626,arcgis
3,329 SW WILD ROSE CT,LAKE CITY,FL,32024,A,nan,-82.773788311879,30.15915728181561,arcgis
5,202 POPLAR DRIVE,ELIZABETHTOWN,KY,42701,AE,FLOODWAY,-85.86280755040369,37.69834374436102,arcgis
12,5 VICTOR ST,EAST HAVEN,CT,6512,AE,nan,-72.87826245319017,41.26653354673952,arcgis
20,1367 MIMOSA DR,ABILENE,TX,79603,AE,FLOODWAY,-99.76203252550305,32.46504101551372,arcgis
23,423 FORREST AVENUE,NORFOLK,VA,23505,AE,nan,-76.30891071460624,36.92884915830975,arcgis
26,23012 POND FORK RD,BOB WHITE,WV,25028,AE,nan,-81.7189839046312,37.95362564193206,arcgis
2,2118 N GIMON CIR,MOBILE,AL,36605,AE,nan,-88.09411409687917,30.653604618578022,arcgis
3,2321 21ST ST N,BESSEMER,AL,35020,AE,nan,-86.97880339202412,33.41960953242132,arcgis
4,7409 4TH AVE N,BIRMINGHAM,AL,35206,A,nan,-86.73542041645169,33.561021333355896,arcgis
5,801 WESLEY DR,MONTGOMERY,AL,36111,AE,nan,-86.29295936147355,32.32790805042163,arcgis
9,1929 SAINT CHARLES CT SW,BIRMINGHAM,AL,35211,AE,nan,-86.87180764361835,33.48942462517385,arcgis
12,846 DEER RUN DRIVE,SARALAND,AL,36571,A,nan,-88.08853635941091,30.83869149947478,arcgis
14,1337 ADRIAN LN,MONTGOMERY,AL,36111,AE,nan,-86.28885667132626,32.33408287276244,arcgis
16,533 LOVELIN STREET,MIDFIELD,AL,35228,AE,nan,-86.90261122160709,33.46190993835305,arcgis
18,2305 CIR DR,HUEYTOWN,AL,35023,AE,nan,-86.97366310608278,33.424434952169904,arcgis
20,1511 1ST AVE SW,DECATUR,AL,35601,AE,nan,-86.9876445396746,34.58236658693398,arcgis
22,530 INA LANE,OXFORD,AL,36203,AE,nan,-85.91063921615046,33.587687478208835,arcgis
23,3061 BAY CRESCENT DR,MOBILE,AL,36605,AE,nan,-88.06144403669113,30.608722293101618,arcgis
24,1405 MONTEVALLO ROAD,CENTREVILLE,AL,35042,A,nan,-87.13745593914334,32.94889089203563,arcgis
32,538 WOODLORE DRIVE,CHICKASAW,AL,36611,AE,nan,-88.09898205478633,30.768083562500774,arcgis
36,159 CANNA DRIVE,MONTGOMERY,AL,36105,AE,nan,-86.31140105720209,32.33029995222119,arcgis
43,201 NABORS AVE,HUEYTOWN,AL,35023,AE,nan,-86.98178081167013,33.43627807844252,arcgis
